dataset,model,seed,n_subjects,mean_pearson,std_pearson,median_pearson,min_pearson,max_pearson,fisher_z_mean,backtransformed_mean_r
etard_tf64,eegnet,2026,20,0.10526592934482218,0.0411970351868001,0.10563914277803987,0.017260066134120223,0.1859956055622544,0.10583798200870624,0.10544455704245927
etard_tf64,fcnn,0,20,0.062120754752264765,0.020509779266656574,0.05859739233812628,0.024303849912917456,0.10726215165344466,0.0622281715209308,0.06214797275176039
etard_tf64,fcnn,42,20,0.0545064762287123,0.03007508559220648,0.055872536990445934,-0.0017803735682439276,0.10763018326766471,0.054608691187434256,0.05455447283458963
etard_tf64,fcnn,2026,20,0.0558991674389521,0.03003343171667664,0.05622495875253575,-0.02159621578407775,0.1096041111093589,0.0560036009836963,0.05594512438500244
etard_tf64,ridge,0,20,0.1034135204772535,0.039369566913306495,0.09687943884584563,0.044848313231063586,0.175744230213875,0.10395618810741081,0.10358331885034538
etard_tf64,ridge,42,20,0.1034135204772535,0.039369566913306495,0.09687943884584563,0.044848313231063586,0.175744230213875,0.10395618810741081,0.10358331885034538
etard_tf64,ridge,2026,20,0.10341387268244476,0.0393669487020556,0.09687943884584563,0.044848313231063586,0.175744230213875,0.10395652143369946,0.10358364860019692
weissbart_tf64,adt,0,13,0.1352674970593222,0.043033190009359804,0.11841530013922809,0.06968193262957317,0.20621424426632606,0.13637248171827598,0.13553332995890854
weissbart_tf64,adt,42,13,0.13231532660927092,0.043025829999681554,0.142945988064525,0.07370236670586854,0.20470608768357818,0.1333502878929558,0.13256544503533474
weissbart_tf64,adt,2026,13,0.12652103226855665,0.044353468442113644,0.13594003800438886,0.042914473945972045,0.20658832498179866,0.12745649511579568,0.12677076703577259
weissbart_tf64,cca,0,13,0.08938459326420561,0.02497670940855209,0.09218244704746066,0.04335437285897882,0.1363743607291315,0.08967939234857106,0.08943975091725276
weissbart_tf64,cca,42,13,0.08938459326420561,0.02497670940855209,0.09218244704746066,0.04335437285897882,0.1363743607291315,0.08967939234857106,0.08943975091725276
weissbart_tf64,cca,2026,13,0.08938459326420561,0.02497670940855209,0.09218244704746066,0.04335437285897882,0.1363743607291315,0.08967939234857106,0.08943975091725276
weissbart_tf64,cnn,0,13,0.1275109496397717,0.033446465011184076,0.12776042309188115,0.06586882154656479,0.20075091678744028,0.1283596862112224,0.12765934112124072
