dataset,subject_id,model,seed,fingerprint,action,status,job_dir,checkpoint_id,subject_metric,num_recordings,error
etard_tf64,P05,ridge,0,27c8edb2e501f54a9b790f9865591da1a35b462e,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P05/ridge/seed_0,ridge_alpha_1.0,0.16560623028155064,24,
etard_tf64,P05,cca,0,87642589de788c9eb4a0866c86f9366c713ceaac,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P05/cca/seed_0,cca_nc_2,0.08291126809368692,24,
etard_tf64,P05,fcnn,0,7927ae7a6b6bfcb3cdc16e4e74d6021476599b93,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P05/fcnn/seed_0,fcnn_epoch_4,0.0772836962806794,24,
etard_tf64,P05,adt,0,5195415a4d1110032e9f5b85c131d45e33de78bd,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P05/adt/seed_0,adt_epoch_14,0.09926028846651712,24,
etard_tf64,P06,ridge,0,6ea1fc8659a6bf444b059393208469a40d583b75,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P06/ridge/seed_0,ridge_alpha_100.0,0.07456562557998551,40,
etard_tf64,P06,cca,0,506beac4bc9f7502fa86f2c0724faa344ea6c180,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P06/cca/seed_0,cca_nc_4,0.05466787667077335,40,
etard_tf64,P06,fcnn,0,cd7f2a9dbd3c3c0607b0c9d7ed9bfc989bd1ed99,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P06/fcnn/seed_0,fcnn_epoch_2,0.04736025961039863,40,
etard_tf64,P06,adt,0,eb79644c1e75920be8e17d14bccb2a81d02364a3,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P06/adt/seed_0,adt_epoch_5,0.07824610586560414,40,
etard_tf64,P07,ridge,0,5e7e8e45ae2b618ae007812e8d59f63aa55ca267,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P07/ridge/seed_0,ridge_alpha_100.0,0.053227695766529526,40,
etard_tf64,P07,cca,0,11f6091665f237a59f3c024fdefbaa0366441c96,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/etard_tf64/P07/cca/seed_0,cca_nc_4,0.04813761913481267,40,
