dataset,subject_id,model,seed,test_recording_rows
etard_tf64,P15,dnn,0,40
etard_tf64,P15,eegnet,0,40
etard_tf64,P15,elasticnet,0,40
etard_tf64,P15,fcnn,0,40
etard_tf64,P15,happyquokka,0,40
etard_tf64,P15,lasso,0,40
etard_tf64,P15,linear,0,40
etard_tf64,P15,ridge,0,40
etard_tf64,P15,vlaai,0,40
etard_tf64,P16,adt,0,40
etard_tf64,P16,cca,0,40
etard_tf64,P16,cnn,0,40
etard_tf64,P16,dnn,0,40
etard_tf64,P16,eegnet,0,40
etard_tf64,P16,elasticnet,0,40
etard_tf64,P16,fcnn,0,40
etard_tf64,P16,happyquokka,0,40
etard_tf64,P16,lasso,0,40
etard_tf64,P16,linear,0,40
etard_tf64,P16,ridge,0,40
etard_tf64,P16,vlaai,0,40
etard_tf64,P17,adt,0,40
etard_tf64,P17,cca,0,40
etard_tf64,P17,cnn,0,40
etard_tf64,P17,dnn,0,40
etard_tf64,P17,eegnet,0,40
etard_tf64,P17,elasticnet,0,40
etard_tf64,P17,fcnn,0,40
etard_tf64,P17,happyquokka,0,40
etard_tf64,P17,lasso,0,40
etard_tf64,P17,linear,0,40
etard_tf64,P17,ridge,0,40
etard_tf64,P17,vlaai,0,40
etard_tf64,P18,adt,0,40
etard_tf64,P18,cca,0,40
etard_tf64,P18,cnn,0,40
etard_tf64,P18,dnn,0,40
etard_tf64,P18,eegnet,0,40
etard_tf64,P18,elasticnet,0,40
etard_tf64,P18,fcnn,0,40
etard_tf64,P18,happyquokka,0,40
etard_tf64,P18,lasso,0,40
etard_tf64,P18,linear,0,40
etard_tf64,P18,ridge,0,40
etard_tf64,P18,vlaai,0,40
etard_tf64,P19,adt,0,40
etard_tf64,P19,cca,0,40
etard_tf64,P19,cnn,0,40
etard_tf64,P19,dnn,0,40
etard_tf64,P19,eegnet,0,40
etard_tf64,P19,elasticnet,0,40
etard_tf64,P19,fcnn,0,40
etard_tf64,P19,happyquokka,0,40
etard_tf64,P19,lasso,0,40
etard_tf64,P19,linear,0,40
etard_tf64,P19,ridge,0,40
etard_tf64,P19,vlaai,0,40
weissbart_tf64,P00,adt,0,15
weissbart_tf64,P00,cca,0,15
weissbart_tf64,P00,cnn,0,15
weissbart_tf64,P00,dnn,0,15
weissbart_tf64,P00,eegnet,0,15
weissbart_tf64,P00,elasticnet,0,15
weissbart_tf64,P00,fcnn,0,15
weissbart_tf64,P00,happyquokka,0,15
weissbart_tf64,P00,lasso,0,15
weissbart_tf64,P00,linear,0,15
weissbart_tf64,P00,ridge,0,15
weissbart_tf64,P00,vlaai,0,15
weissbart_tf64,P01,adt,0,15
weissbart_tf64,P01,cca,0,15
weissbart_tf64,P01,cnn,0,15
weissbart_tf64,P01,dnn,0,15
weissbart_tf64,P01,eegnet,0,15
weissbart_tf64,P01,elasticnet,0,15
weissbart_tf64,P01,fcnn,0,15
weissbart_tf64,P01,happyquokka,0,15
weissbart_tf64,P01,lasso,0,15
weissbart_tf64,P01,linear,0,15
weissbart_tf64,P01,ridge,0,15
weissbart_tf64,P01,vlaai,0,15
weissbart_tf64,P02,adt,0,15
weissbart_tf64,P02,cca,0,15
weissbart_tf64,P02,cnn,0,15
weissbart_tf64,P02,dnn,0,15
weissbart_tf64,P02,eegnet,0,15
weissbart_tf64,P02,elasticnet,0,15
weissbart_tf64,P02,fcnn,0,15
weissbart_tf64,P02,happyquokka,0,15
weissbart_tf64,P02,lasso,0,15
weissbart_tf64,P02,linear,0,15
weissbart_tf64,P02,ridge,0,15
weissbart_tf64,P02,vlaai,0,15
weissbart_tf64,P03,adt,0,15
weissbart_tf64,P03,cca,0,15
weissbart_tf64,P03,cnn,0,15
weissbart_tf64,P03,dnn,0,15
weissbart_tf64,P03,eegnet,0,15
weissbart_tf64,P03,elasticnet,0,15
weissbart_tf64,P03,fcnn,0,15
weissbart_tf64,P03,happyquokka,0,15
weissbart_tf64,P03,lasso,0,15
weissbart_tf64,P03,linear,0,15
weissbart_tf64,P03,ridge,0,15
weissbart_tf64,P03,vlaai,0,15
weissbart_tf64,P04,adt,0,15
weissbart_tf64,P04,cca,0,15
weissbart_tf64,P04,cnn,0,15
